,name,id_prod_company,id
346,Warner Bros.,6194,414
347,Polygram Filmed Entertainment,31080,414
348,Paris Films Productions,386,649
349,Five Films,387,649
350,Robert et Raymond Hakim,11290,649
351,Columbia Pictures,5,1873
352,Castle Rock Entertainment,97,1873
353,Miramax Films,14,5894
354,InterAL,30334,5894
355,PolyGram Filmed Entertainment,1382,1775
356,Universal Pictures,33,8839
357,Amblin Entertainment,56,8839
358,The Harvey Entertainment Company,11098,8839
359,Universal Pictures,33,20649
360,40 Acres & A Mule Filmworks,4319,20649
361,Paramount Pictures,4,10329
362,"Kennedy/Marshall Company, The",7383,10329
363,Hollywood Pictures,915,8963
364,Don Simpson/Jerry Bruckheimer Films,10288,8963
365,Superior Pictures,4532,26564
366,Columbia Pictures,5,8068
367,Los Hooligans Productions,11705,8068
368,TriStar Pictures,559,8512
369,Mundy Lane Entertainment,2510,8512
370,Twentieth Century Fox Film Corporation,306,1572
371,Cinergi Pictures Entertainment,1504,1572
372,Why Not Productions,729,13552
373,Desperate Pictures,1474,13552
374,Blurco,2765,13552
375,The Teen Angst Movie Company,18902,13552
376,Touchstone Pictures,9195,259209
377,Merchant Ivory Productions,20740,259209
378,Columbia Pictures Corporation,441,6520
379,First Knight Productions,10158,6520
380,Regency Enterprises,508,9073
381,Alcor Films,644,9073
382,Canal+,5358,9073
383,Donner/Shuler-Donner Productions,5739,9073
384,Warner Bros.,6194,9073
385,United Artists,60,10428
386,Suftley,87394,10428
387,The Booking Office,12909,17447
388,WorkinMan Films,12910,17447
389,TriStar Pictures,559,9886
390,Alliance Communications Corporation,2480,9886
391,Hollywood Pictures,915,9482
392,Cinergi Pictures Entertainment,1504,9482
393,TriStar Pictures,559,19326
394,Miramax Films,14,9344
395,JDI productions,13187,9071
396,Lemon Sky Productions,13190,9071
397,United Artists,60,8973
398,Seraphim Films,3557,8973
399,The Ontario Film Development Corporation,1203,15730
400,First Choice Films,2267,15730
401,Atlantis Films,4350,15730
402,Telefilm Canada,7320,15730
403,Max Films Productions,7828,15730
404,Super Écran,11578,15730
405,Société Générale des Industries Culturelles du Québec (SOGIC),35859,15730
406,Touchstone Pictures,9195,47608
407,Universal Pictures,33,2293
408,Gramercy Pictures,37,2293
409,Alphaville Films,11462,2293
410,View Askew Productions,16934,2293
411,Twentieth Century Fox Film Corporation,306,9070
412,Saban Entertainment,2106,9070
413,Toei Company,9255,9070
414,PolyGram Filmed Entertainment,1382,68274
415,Working Title Films,10163,68274
416,Comet Film Produktion GmbH,16561,48787
417,Avrora Media,38959,48787
418,Cobblestone Pictures,38960,48787
419,Kino Link Company,37897,34574
420,Columbia Pictures,5,1642
421,Twentieth Century Fox Film Corporation,306,11472
422,1492 Pictures,436,11472
423,Party Productions,37890,36196
424,Dimension Films,7405,11980
425,Playhouse International Pictures,2492,58372
426,American Playhouse,3906,58372
427,"Samuel Goldwyn Company, The",28205,58372
428,Killer Films,1422,32646
429,American Playhouse,3906,32646
430,Kardana Films,38692,32646
431,Chemical Films,39861,32646
432,Hollywood Pictures,915,10533
433,Cinergi Pictures Entertainment,1504,10533
434,United Artists,60,10802
435,Le Studio Canal+,183,10802
436,Carolco Pictures,14723,10802
437,Miramax Films,14,10149
438,Spring Creek Productions,705,18402
439,Warner Bros.,6194,18402
440,Hawn / Sylbert Movie Company,16368,18402
441,Metro-Goldwyn-Mayer (MGM),8411,9348
442,Malpaso Productions,171,139408
443,Butchers Run Films,3864,139408
444,Warner Bros.,6194,139408
445,Lightstorm Entertainment,574,281
446,Beta Film,1080,5967
447,Madeleine Films,1147,5967
448,Parc Film,14680,5967
449,Hollywood Pictures,915,79593
450,PolyGram Filmed Entertainment,1382,79593
451,Interscope Communications,10201,79593
452,Savoy Pictures,11308,47939
453,Société Française de Production (SFP),6849,36834
454,FIT Productions,16026,36834
455,Portman Productions,16027,36834
456,Universal Pictures,33,9090
457,Amblin Entertainment,56,9090
458,Regency Enterprises,508,3512
459,Warner Bros.,6194,3512
460,Seagal/Nasso Productions,17825,3512
461,Victor Company of Japan (JVC),21480,3512
462,Cutting Edge Films,63906,3512
463,Hollywood Pictures,915,52856
464,Twentieth Century Fox Film Corporation,306,9560
465,Zucker Brothers Productions,2851,9560
466,Universal Pictures,33,9804
467,Gordon Company,1073,9804
468,Davis Entertainment,1302,9804
469,Licht/Mueller Film Corporation,6092,9804
470,HBO,6068,31611
471,A BandApart,6911,31611
